1_11, ENC4_BS91.fastq
2_11, ENC4_BS92.fastq
3_11, ENC4_BS95.fastq
4_11, ENC4_BS96.fastq
5_11, ENC4_BS98.fastq
6_11, ENC4_BS99.fastq
7_11, ENC4_BS101.fastq
1_12, ENC4_BS105.fastq
2_12, ENC4_BS106.fastq
3_12, ENC4_BS107.fastq
4_12, ENC4_BS108.fastq
5_12, ENC4_BS113.fastq
6_12, ENC4_BS115.fastq
7_12, ENC4_BS116.fastq
1_14, ENC4_BS123.fastq
2_14, ENC4_BS127.fastq
3_14, ENC4_BS141.fastq
4_14, ENC4_BS143.fastq
5_14, ENC4_BS149.fastq
6_14, ENC4_BS151.fastq
7_14, ENC4_BS154.fastq
1_15, ENC4_BS158.fastq
2_15, ENC4_BS159.fastq
3_15, ENC4_BS165.fastq
4_15, ENC4_BS166.fastq
5_15, ENC4_BS160.fastq
6_15, ENC4_BS161.fastq
1_1, ENC4_BS43.fastq
2_1, ENC4_BS49.fastq
3_1, ENC4_BS121.fastq
4_1, ENC4_BS144.fastq
5_1, ENC4_BS145.fastq
6_1, ENC4_BS146.fastq
7_1, ENC4_BS155.fastq
1_2, ENC4_BS163.fastq
2_2, ENC4_BS170.fastq
